feature,train_median,test_median,train_mad,median_shift_robust_sigma,train_missing_rate,test_missing_rate,missing_rate_change,abs_median_shift_robust_sigma
feature_452,5.1586,5.76685,0.5430500000000005,0.7554718800324807,0.0007980845969672786,0.0,-0.0007980845969672786,0.7554718800324807
feature_125,1.087,1.229,0.14569999999999994,0.6573623050492563,0.004788507581803671,0.009554140127388535,0.004765632545584863,0.6573623050492563
feature_130,0.7681,0.7154,0.05489999999999995,-0.6474619858727975,0.004788507581803671,0.009554140127388535,0.004765632545584863,0.6474619858727975
feature_59,1.3754499999999998,-0.7882,3.08725,-0.47270610794122114,0.00558659217877095,0.0,-0.00558659217877095,0.47270610794122114
feature_103,-0.0098,-0.0111,0.002,-0.43841899365978715,0.0015961691939345571,0.0,-0.0015961691939345571,0.43841899365978715
feature_510,49.0251,41.049549999999996,14.650100000000002,-0.367194406641836,0.0015961691939345571,0.0,-0.0015961691939345571,0.367194406641836
feature_129,-0.1419,-0.3311,0.42569999999999997,-0.29977367087848683,0.004788507581803671,0.009554140127388535,0.004765632545584863,0.29977367087848683
feature_205,7.89,7.295,1.9399999999999995,-0.20686701128277016,0.004788507581803671,0.0,-0.004788507581803671,0.20686701128277016
feature_477,5.3634,4.96715,1.3106,-0.20392718101831298,0.004788507581803671,0.0,-0.004788507581803671,0.20392718101831298
feature_33,8.7696,8.7786,0.21000000000000085,0.028906746834712203,0.0007980845969672786,0.0,-0.0007980845969672786,0.028906746834712203
