feature,missing_rate
feature_292,0.9119336311423102
feature_293,0.9119336311423102
feature_158,0.9119336311423102
feature_157,0.9119336311423102
feature_492,0.8557753669432036
feature_85,0.8557753669432036
feature_358,0.8557753669432036
feature_220,0.8557753669432036
feature_244,0.6496490108487556
feature_517,0.6496490108487556
feature_109,0.6496490108487556
feature_246,0.6496490108487556
feature_383,0.6496490108487556
feature_382,0.6496490108487556
feature_384,0.6496490108487556
feature_245,0.6496490108487556
feature_111,0.6496490108487556
feature_110,0.6496490108487556
feature_516,0.6496490108487556
feature_518,0.6496490108487556
feature_580,0.6056158264199106
feature_578,0.6056158264199106
feature_579,0.6056158264199106
feature_581,0.6056158264199106
feature_73,0.5067007019783025
feature_345,0.5067007019783025
feature_72,0.5067007019783025
feature_346,0.5067007019783025
feature_519,0.4562858966177409
feature_247,0.4562858966177409
feature_385,0.4562858966177409
feature_112,0.4562858966177409
feature_563,0.1742182514358647
feature_564,0.1742182514358647
feature_565,0.1742182514358647
feature_562,0.1742182514358647
feature_566,0.1742182514358647
feature_568,0.1742182514358647
feature_567,0.1742182514358647
feature_569,0.1742182514358647
feature_556,0.16592214422463306
feature_554,0.16592214422463306
feature_555,0.16592214422463306
feature_553,0.16592214422463306
feature_552,0.16592214422463306
feature_551,0.16592214422463306
feature_550,0.16592214422463306
feature_557,0.16592214422463306
feature_546,0.16592214422463306
feature_548,0.16592214422463306
feature_547,0.16592214422463306
feature_549,0.16592214422463306
feature_363,0.03254626675175495
feature_362,0.03254626675175495
feature_497,0.03254626675175495
feature_90,0.03254626675175495
feature_89,0.03254626675175495
feature_225,0.03254626675175495
feature_224,0.03254626675175495
feature_496,0.03254626675175495
feature_450,0.015315890236119975
feature_41,0.015315890236119975
feature_449,0.015315890236119975
feature_40,0.015315890236119975
feature_391,0.015315890236119975
feature_351,0.015315890236119975
feature_350,0.015315890236119975
feature_349,0.015315890236119975
feature_348,0.015315890236119975
feature_217,0.015315890236119975
feature_211,0.015315890236119975
feature_486,0.015315890236119975
feature_489,0.015315890236119975
feature_487,0.015315890236119975
feature_488,0.015315890236119975
feature_214,0.015315890236119975
feature_75,0.015315890236119975
feature_77,0.015315890236119975
feature_81,0.015315890236119975
feature_355,0.015315890236119975
feature_313,0.015315890236119975
feature_314,0.015315890236119975
feature_82,0.015315890236119975
feature_354,0.015315890236119975
feature_482,0.015315890236119975
feature_484,0.015315890236119975
feature_485,0.015315890236119975
feature_352,0.015315890236119975
feature_353,0.015315890236119975
feature_253,0.015315890236119975
feature_483,0.015315890236119975
feature_76,0.015315890236119975
feature_80,0.015315890236119975
feature_79,0.015315890236119975
feature_78,0.015315890236119975
feature_525,0.015315890236119975
feature_178,0.015315890236119975
feature_210,0.015315890236119975
feature_212,0.015315890236119975
feature_118,0.015315890236119975
feature_216,0.015315890236119975
feature_215,0.015315890236119975
feature_213,0.015315890236119975
feature_411,0.008934269304403318
feature_6,0.008934269304403318
feature_415,0.008934269304403318
feature_412,0.008934269304403318
feature_413,0.008934269304403318
feature_274,0.008934269304403318
feature_276,0.008934269304403318
feature_414,0.008934269304403318
feature_5,0.008934269304403318
feature_4,0.008934269304403318
feature_275,0.008934269304403318
feature_277,0.008934269304403318
feature_273,0.008934269304403318
feature_140,0.008934269304403318
feature_139,0.008934269304403318
feature_142,0.008934269304403318
feature_3,0.008934269304403318
feature_2,0.008934269304403318
feature_141,0.008934269304403318
feature_138,0.008934269304403318
feature_84,0.007657945118059987
feature_357,0.007657945118059987
feature_219,0.007657945118059987
feature_491,0.007657945118059987
feature_428,0.006381620931716656
feature_19,0.006381620931716656
feature_290,0.006381620931716656
feature_155,0.006381620931716656
feature_143,0.00574345883854499
feature_121,0.00574345883854499
feature_395,0.00574345883854499
feature_396,0.00574345883854499
feature_397,0.00574345883854499
feature_398,0.00574345883854499
feature_399,0.00574345883854499
feature_400,0.00574345883854499
feature_401,0.00574345883854499
feature_402,0.00574345883854499
feature_403,0.00574345883854499
feature_404,0.00574345883854499
feature_534,0.00574345883854499
